scope,page_number,metric,cluster_id,position_mean,position_min,position_max,position_range,x0_min,x1_max,token_count,page_count,sample_pages,sample_texts
sample_page,368,x_center,57,700.29612,700.2834399999999,700.3088,0.02536000000009153,691.66,708.9068799999999,2,1,368,KA19|RM
sample_page,368,x_center,58,705.9898109090909,704.6807200000001,706.48072,1.7999999999999545,694.78,714.58144,44,1,368,100.15|100.55|100.95|101.35|101.75|102.15|102.55|102.95
sample_page,368,x_center,59,732.6961199999998,732.6834399999999,732.7087999999999,0.025359999999977845,724.06,741.3068799999999,2,1,368,KA20|RM
sample_page,368,x_center,60,738.88072,738.88072,738.88072,0.0,730.78,746.98144,44,1,368,74.00|74.40|74.80|75.20|75.60|76.00|76.40|76.80
sample_page,369,x_center,1,58.35717333333333,58.321439999999996,59.92944,1.608000000000004,48.12,71.73888,45,1,369,7516|7521|7526|7531|7536|7541|7546|7551
sample_page,369,x_center,2,64.88274000000001,64.88274000000001,64.88274000000001,0.0,52.56,77.20548000000001,1,1,369,Monthly
sample_page,369,x_center,3,71.97103551020408,71.34234,72.00880000000001,0.6664600000000149,49.08,93.63444,49,1,369,Total|Remuneration|Bulanan|Jumlah|-|RM
sample_page,369,x_center,4,84.69216,84.68112,84.70320000000001,0.022080000000002542,73.65048,95.71176000000001,2,1,369,Bersih|Net
sample_page,369,x_center,5,91.70544000000001,91.70544000000001,91.70544000000001,0.0,84.504,98.90688,44,1,369,7520|7525|7530|7535|7540|7545|7550|7555
sample_page,369,x_center,6,117.01612,117.00344,117.02879999999999,0.025359999999992056,108.38,125.62688,2,1,369,KA11|RM
sample_page,369,x_center,7,121.40072,121.40072,121.40072,0.0,111.5,131.30144,44,1,369,211.15|211.85|212.55|213.25|213.95|214.65|215.35|216.05
sample_page,369,x_center,8,149.41612,149.40344,149.42880000000002,0.025360000000034688,140.78,158.02687999999998,2,1,369,KA12|RM
sample_page,369,x_center,9,153.80072,153.80072,153.80072,0.0,143.9,163.70144000000002,44,1,369,187.80|188.50|189.20|189.90|190.60|191.30|192.00|192.70
sample_page,369,x_center,10,181.81612,181.80344000000002,181.8288,0.025359999999977845,173.18,190.42688,2,1,369,KA13|RM
sample_page,369,x_center,11,186.20072000000002,186.20072000000002,186.20072000000002,0.0,176.3,196.10144000000003,44,1,369,164.45|165.15|165.85|166.55|167.25|167.95|168.65|169.35
sample_page,369,x_center,12,214.21612,214.20344,214.22879999999998,0.025359999999977845,205.58,222.82688,2,1,369,KA14|RM
sample_page,369,x_center,13,218.60480913043477,217.85132,219.53822,1.6869000000000085,207.38,228.50144,46,1,369,Where|144.95|145.35|145.75|146.15|146.55|146.95|147.35
