page_number,page_width,page_height,rotation,page_box_signature,is_page_box_or_rotation_outlier,is_sampled,sample_reasons,token_count,x_center_min,x_center_max,y_center_min,y_center_max,extraction_error
159,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
160,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
161,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
162,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
163,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
164,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
165,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
166,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
167,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
168,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
169,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
170,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
171,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
172,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
173,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
174,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
175,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
176,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
177,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
178,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
179,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
180,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
181,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
182,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
183,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
184,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
185,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
186,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
187,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
188,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
189,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
190,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
191,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
192,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
193,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
194,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
195,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
196,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
197,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
198,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
199,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
200,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
201,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
202,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
203,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
204,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
205,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
206,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
207,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
208,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
209,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
210,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
211,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
212,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
213,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
214,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
215,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
216,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
217,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
218,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
219,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
220,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
221,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
222,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
223,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
224,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
225,792.0,612.0,0,792.00x612.00/rot=0,False,False,,,,,,,
