page_number,template_family,section_code,row_index,center,top_boundary,bottom_boundary,salary_from,salary_to,line_token_count,expected_cell_count,assigned_cell_token_count,line_text
3,normal_ka1_ka10,KA1_KA10,36,430.7372,426.8972,434.5772,3456,3460,26,25,25,3456 - 3460 10.45 - - - - - - - - - - - 10.45 5.45 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,37,438.4172,434.5772,442.2572,3461,3465,26,25,25,3461 - 3465 10.60 - - - - - - - - - - - 10.60 5.60 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,38,446.0972,442.2572,449.9372,3466,3470,26,25,25,3466 - 3470 10.75 - - - - - - - - - - - 10.75 5.75 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,39,453.7772,449.9372,457.6172,3471,3475,26,25,25,3471 - 3475 10.90 - - - - - - - - - - - 10.90 5.90 - - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,40,461.4572,457.6172,465.2972,3476,3480,26,25,25,3476 - 3480 11.05 - - - - - - - - - - - 11.05 6.05 1.05 - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,41,469.1372,465.2972,472.9772,3481,3485,26,25,25,3481 - 3485 11.20 - - - - - - - - - - - 11.20 6.20 1.20 - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,42,476.8172,472.9772,480.6572,3486,3490,26,25,25,3486 - 3490 11.35 - - - - - - - - - - - 11.35 6.35 1.35 - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,43,484.4972,480.6572,488.3372,3491,3495,26,25,25,3491 - 3495 11.50 - - - - - - - - - - - 11.50 6.50 1.50 - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,44,492.1772,488.3372,496.0172,3496,3500,26,25,25,3496 - 3500 11.65 - - - - - - - - - - - 11.65 6.65 1.65 - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,45,499.8572,496.0172,503.7072,3501,3505,26,25,25,3501 - 3505 11.80 - - - - - - - - - - - 11.80 6.80 1.80 - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,46,507.5572,503.7072,511.3972,3506,3510,26,25,25,3506 - 3510 11.95 - - - - - - - - - - - 11.95 6.95 1.95 - - - - - - - -
3,normal_ka1_ka10,KA1_KA10,47,515.2372,511.3972,519.0772,3511,3515,26,25,25,3511 - 3515 12.10 - - - - - - - - - - - 12.10 7.10 2.10 - - - - - - - -
10,normal_ka1_ka10,KA1_KA10,1,161.8872,158.0472,165.7272,4926,4930,26,25,25,4926 - 4930 151.85 124.40 111.05 97.75 84.40 71.05 57.75 - - - - - 151.85 137.75 124.40 111.05 97.75 84.40 71.05 57.75 14.55 9.55 4.55
10,normal_ka1_ka10,KA1_KA10,2,169.5672,165.7272,173.4072,4931,4935,26,25,25,4931 - 4935 152.55 124.80 111.45 98.15 84.80 71.45 58.15 - - - - - 152.55 138.15 124.80 111.45 98.15 84.80 71.45 58.15 14.70 9.70 4.70
10,normal_ka1_ka10,KA1_KA10,3,177.2472,173.4072,181.0872,4936,4940,26,25,25,4936 - 4940 153.25 125.20 111.85 98.55 85.20 71.85 58.55 - - - - - 153.25 138.55 125.20 111.85 98.55 85.20 71.85 58.55 14.85 9.85 4.85
10,normal_ka1_ka10,KA1_KA10,4,184.9272,181.0872,188.7672,4941,4945,26,25,25,4941 - 4945 153.95 125.60 112.25 98.95 85.60 72.25 58.95 - - - - - 153.95 138.95 125.60 112.25 98.95 85.60 72.25 58.95 15.00 10.00 5.00
10,normal_ka1_ka10,KA1_KA10,5,192.6072,188.7672,196.4472,4946,4950,26,25,25,4946 - 4950 154.65 126.00 112.65 99.35 86.00 72.65 59.35 - - - - - 154.65 139.35 126.00 112.65 99.35 86.00 72.65 59.35 15.15 10.15 5.15
10,normal_ka1_ka10,KA1_KA10,6,200.2872,196.4472,204.1272,4951,4955,26,25,25,4951 - 4955 155.35 126.40 113.05 99.75 86.40 73.05 59.75 - - - - - 155.35 139.75 126.40 113.05 99.75 86.40 73.05 59.75 15.30 10.30 5.30
10,normal_ka1_ka10,KA1_KA10,7,207.9672,204.1272,211.8072,4956,4960,26,25,25,4956 - 4960 156.05 126.80 113.45 100.15 86.80 73.45 60.15 - - - - - 156.05 140.15 126.80 113.45 100.15 86.80 73.45 60.15 15.45 10.45 5.45
10,normal_ka1_ka10,KA1_KA10,8,215.6472,211.8072,219.4872,4961,4965,26,25,25,4961 - 4965 156.75 127.20 113.85 100.55 87.20 73.85 60.55 - - - - - 156.75 140.55 127.20 113.85 100.55 87.20 73.85 60.55 15.60 10.60 5.60
10,normal_ka1_ka10,KA1_KA10,9,223.3272,219.4872,227.1672,4966,4970,26,25,25,4966 - 4970 157.45 127.60 114.25 100.95 87.60 74.25 60.95 - - - - - 157.45 140.95 127.60 114.25 100.95 87.60 74.25 60.95 15.75 10.75 5.75
10,normal_ka1_ka10,KA1_KA10,10,231.0072,227.1672,234.8472,4971,4975,26,25,25,4971 - 4975 158.15 128.00 114.65 101.35 88.00 74.65 61.35 - - - - - 158.15 141.35 128.00 114.65 101.35 88.00 74.65 61.35 15.90 10.90 5.90
10,normal_ka1_ka10,KA1_KA10,11,238.6872,234.8472,242.5272,4976,4980,26,25,25,4976 - 4980 158.85 128.40 115.05 101.75 88.40 75.05 61.75 - - - - - 158.85 141.75 128.40 115.05 101.75 88.40 75.05 61.75 16.05 11.05 6.05
10,normal_ka1_ka10,KA1_KA10,12,246.3672,242.5272,250.2072,4981,4985,26,25,25,4981 - 4985 159.55 128.80 115.45 102.15 88.80 75.45 62.15 - - - - - 159.55 142.15 128.80 115.45 102.15 88.80 75.45 62.15 16.20 11.20 6.20
10,normal_ka1_ka10,KA1_KA10,13,254.0472,250.2072,257.8872,4986,4990,26,25,25,4986 - 4990 160.25 129.20 115.85 102.55 89.20 75.85 62.55 - - - - - 160.25 142.55 129.20 115.85 102.55 89.20 75.85 62.55 16.35 11.35 6.35
10,normal_ka1_ka10,KA1_KA10,14,261.7272,257.8872,265.5672,4991,4995,26,25,25,4991 - 4995 160.95 129.60 116.25 102.95 89.60 76.25 62.95 - - - - - 160.95 142.95 129.60 116.25 102.95 89.60 76.25 62.95 16.50 11.50 6.50
10,normal_ka1_ka10,KA1_KA10,15,269.4072,265.5672,273.2572,4996,5000,26,25,25,4996 - 5000 161.65 130.00 116.65 103.35 90.00 76.65 63.35 - - - - - 161.65 143.35 130.00 116.65 103.35 90.00 76.65 63.35 16.65 11.65 6.65
10,normal_ka1_ka10,KA1_KA10,16,277.1072,273.2572,280.9472,5001,5005,26,25,25,5001 - 5005 162.35 130.40 117.05 103.75 90.40 77.05 63.75 50.40 - - - - 162.35 143.75 130.40 117.05 103.75 90.40 77.05 63.75 50.40 11.80 6.80
10,normal_ka1_ka10,KA1_KA10,17,284.7872,280.9472,288.6272,5006,5010,26,25,25,5006 - 5010 163.05 130.80 117.45 104.15 90.80 77.45 64.15 50.80 - - - - 163.05 144.15 130.80 117.45 104.15 90.80 77.45 64.15 50.80 11.95 6.95
10,normal_ka1_ka10,KA1_KA10,18,292.4672,288.6272,296.3072,5011,5015,26,25,25,5011 - 5015 163.75 131.20 117.85 104.55 91.20 77.85 64.55 51.20 - - - - 163.75 144.55 131.20 117.85 104.55 91.20 77.85 64.55 51.20 12.10 7.10
10,normal_ka1_ka10,KA1_KA10,19,300.1472,296.3072,303.9872,5016,5020,26,25,25,5016 - 5020 164.45 131.60 118.25 104.95 91.60 78.25 64.95 51.60 - - - - 164.45 144.95 131.60 118.25 104.95 91.60 78.25 64.95 51.60 12.25 7.25
10,normal_ka1_ka10,KA1_KA10,20,307.8272,303.9872,311.6672,5021,5025,26,25,25,5021 - 5025 165.15 132.00 118.65 105.35 92.00 78.65 65.35 52.00 - - - - 165.15 145.35 132.00 118.65 105.35 92.00 78.65 65.35 52.00 12.40 7.40
10,normal_ka1_ka10,KA1_KA10,21,315.5072,311.6672,319.3472,5026,5030,26,25,25,5026 - 5030 165.85 132.40 119.05 105.75 92.40 79.05 65.75 52.40 - - - - 165.85 145.75 132.40 119.05 105.75 92.40 79.05 65.75 52.40 12.55 7.55
10,normal_ka1_ka10,KA1_KA10,22,323.1872,319.3472,327.0272,5031,5035,26,25,25,5031 - 5035 166.55 132.80 119.45 106.15 92.80 79.45 66.15 52.80 - - - - 166.55 146.15 132.80 119.45 106.15 92.80 79.45 66.15 52.80 12.70 7.70
10,normal_ka1_ka10,KA1_KA10,23,330.8672,327.0272,334.7072,5036,5040,26,25,25,5036 - 5040 167.25 133.20 119.85 106.55 93.20 79.85 66.55 53.20 - - - - 167.25 146.55 133.20 119.85 106.55 93.20 79.85 66.55 53.20 12.85 7.85
10,normal_ka1_ka10,KA1_KA10,24,338.5472,334.7072,342.3872,5041,5045,26,25,25,5041 - 5045 167.95 133.60 120.25 106.95 93.60 80.25 66.95 53.60 - - - - 167.95 146.95 133.60 120.25 106.95 93.60 80.25 66.95 53.60 13.00 8.00
10,normal_ka1_ka10,KA1_KA10,25,346.2272,342.3872,350.0672,5046,5050,26,25,25,5046 - 5050 168.65 134.00 120.65 107.35 94.00 80.65 67.35 54.00 - - - - 168.65 147.35 134.00 120.65 107.35 94.00 80.65 67.35 54.00 13.15 8.15
10,normal_ka1_ka10,KA1_KA10,26,353.9072,350.0672,357.7472,5051,5055,26,25,25,5051 - 5055 169.35 134.40 121.05 107.75 94.40 81.05 67.75 54.40 - - - - 169.35 147.75 134.40 121.05 107.75 94.40 81.05 67.75 54.40 13.30 8.30
10,normal_ka1_ka10,KA1_KA10,27,361.5872,357.7472,365.4272,5056,5060,26,25,25,5056 - 5060 170.05 134.80 121.45 108.15 94.80 81.45 68.15 54.80 - - - - 170.05 148.15 134.80 121.45 108.15 94.80 81.45 68.15 54.80 13.45 8.45
10,normal_ka1_ka10,KA1_KA10,28,369.2672,365.4272,373.1072,5061,5065,26,25,25,5061 - 5065 170.75 135.20 121.85 108.55 95.20 81.85 68.55 55.20 - - - - 170.75 148.55 135.20 121.85 108.55 95.20 81.85 68.55 55.20 13.60 8.60
10,normal_ka1_ka10,KA1_KA10,29,376.9472,373.1072,380.7872,5066,5070,26,25,25,5066 - 5070 171.45 135.60 122.25 108.95 95.60 82.25 68.95 55.60 - - - - 171.45 148.95 135.60 122.25 108.95 95.60 82.25 68.95 55.60 13.75 8.75
10,normal_ka1_ka10,KA1_KA10,30,384.6272,380.7872,388.4822,5071,5075,26,25,25,5071 - 5075 172.15 136.00 122.65 109.35 96.00 82.65 69.35 56.00 - - - - 172.15 149.35 136.00 122.65 109.35 96.00 82.65 69.35 56.00 13.90 8.90
10,normal_ka1_ka10,KA1_KA10,31,392.3372,388.4822,396.1772,5076,5080,26,25,25,5076 - 5080 172.85 136.40 123.05 109.75 96.40 83.05 69.75 56.40 - - - - 172.85 149.75 136.40 123.05 109.75 96.40 83.05 69.75 56.40 14.05 9.05
10,normal_ka1_ka10,KA1_KA10,32,400.0172,396.1772,403.8572,5081,5085,26,25,25,5081 - 5085 173.55 136.80 123.45 110.15 96.80 83.45 70.15 56.80 - - - - 173.55 150.25 136.80 123.45 110.15 96.80 83.45 70.15 56.80 14.20 9.20
10,normal_ka1_ka10,KA1_KA10,33,407.6972,403.8572,411.5372,5086,5090,26,25,25,5086 - 5090 174.25 137.20 123.85 110.55 97.20 83.85 70.55 57.20 - - - - 174.25 150.95 137.20 123.85 110.55 97.20 83.85 70.55 57.20 14.35 9.35
10,normal_ka1_ka10,KA1_KA10,34,415.3772,411.5372,419.2172,5091,5095,26,25,25,5091 - 5095 174.95 137.60 124.25 110.95 97.60 84.25 70.95 57.60 - - - - 174.95 151.65 137.60 124.25 110.95 97.60 84.25 70.95 57.60 14.50 9.50
10,normal_ka1_ka10,KA1_KA10,35,423.0572,419.2172,426.8972,5096,5100,26,25,25,5096 - 5100 175.65 138.00 124.65 111.35 98.00 84.65 71.35 58.00 - - - - 175.65 152.35 138.00 124.65 111.35 98.00 84.65 71.35 58.00 14.65 9.65
10,normal_ka1_ka10,KA1_KA10,36,430.7372,426.8972,434.5772,5101,5105,26,25,25,5101 - 5105 176.35 138.40 125.05 111.75 98.40 85.05 71.75 58.40 - - - - 176.35 153.05 138.40 125.05 111.75 98.40 85.05 71.75 58.40 14.80 9.80
10,normal_ka1_ka10,KA1_KA10,37,438.4172,434.5772,442.2572,5106,5110,26,25,25,5106 - 5110 177.05 138.80 125.45 112.15 98.80 85.45 72.15 58.80 - - - - 177.05 153.75 138.80 125.45 112.15 98.80 85.45 72.15 58.80 14.95 9.95
